Category,Message,Sent_Date,Sent_Time,Source_IP,Source_Location
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",2025-07-12,18:39:46,198.51.100.93,"('Hong Kong', 'Hong Kong')"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",2025-07-23,15:16:52,37.120.125.75,"('Netherlands', 'North Holland')"
ham,I plane to give on this month end.,2025-09-07,01:04:16,192.168.152.102,"('Hong Kong', 'Hong Kong')"
ham,Wah lucky man... Then can save money... Hee...,2025-07-07,01:48:32,10.0.137.119,"('Singapore', 'Central')"
ham,Finished class where are you.,2025-07-25,04:01:05,192.168.227.213,"('Malaysia', 'Kuala Lumpur')"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,2025-08-23,01:19:04,172.16.160.155,"('Malaysia', 'Selangor')"
ham,K..k:)where are you?how did you performed?,2025-07-23,03:48:23,203.0.113.139,"('Thailand', 'Bangkok')"
ham,U can call me now...,2025-08-30,04:22:37,172.16.193.195,"('Singapore', 'Central')"
ham,I am waiting machan. Call me once you free.,2025-07-09,03:11:09,203.0.113.104,"('Indonesia', 'DKI Jakarta')"
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,2025-07-10,02:22:50,192.168.132.57,"('Indonesia', 'DKI Jakarta')"
ham,I like you peoples very much:) but am very shy pa.,2025-08-11,04:02:42,198.51.100.234,"('Thailand', 'Bangkok')"
ham,Does not operate after  &lt;#&gt;  or what,2025-09-21,01:43:46,172.16.178.61,"('Netherlands', 'North Holland')"
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,2025-07-05,02:52:04,124.13.191.140,"('Malaysia', 'Kuala Lumpur')"
ham,"Sorry, I'll call later",2025-07-28,05:25:20,124.13.42.56,"('Thailand', 'Bangkok')"
ham,K. Did you call me just now ah?,2025-09-08,00:22:45,172.16.17.129,"('Malaysia', 'Kuala Lumpur')"
ham,Ok i am on the way to home hi hi,2025-09-11,01:10:11,203.0.113.190,"('Malaysia', 'Selangor')"
ham,You will be in the place of that man,2025-07-28,01:54:25,203.0.113.5,"('Malaysia', 'Selangor')"
ham,Yup next stop.,2025-07-17,03:38:12,203.0.113.182,"('Malaysia', 'Selangor')"
ham,"I call you later, don't have network. If urgnt, sms me.",2025-08-07,02:19:37,10.0.80.218,"('Thailand', 'Bangkok')"
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,2025-08-05,02:33:31,124.13.32.37,"('Singapore', 'Central')"
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,2025-09-08,05:56:46,203.0.113.79,"('Singapore', 'Central')"
ham,I'm really not up to it still tonight babe,2025-07-06,00:13:19,172.16.131.230,"('Malaysia', 'Kuala Lumpur')"
ham,"Ela kano.,il download, come wen ur free..",2025-08-27,05:02:55,172.16.222.125,"('Malaysia', 'Kuala Lumpur')"
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,2025-08-28,05:15:31,124.13.168.9,"('Malaysia', 'Kuala Lumpur')"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,2025-07-27,00:45:53,192.168.236.140,"('Malaysia', 'Kuala Lumpur')"
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,2025-07-02,00:44:09,124.13.144.99,"('Malaysia', 'Selangor')"
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,2025-09-02,17:49:09,5.188.1.168,"('Hong Kong', 'Hong Kong')"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,2025-09-12,01:59:56,185.220.100.205,"('Malaysia', 'Kuala Lumpur')"
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",2025-08-31,18:48:14,37.120.199.47,"('Germany', 'Hesse')"
ham,Watching telugu movie..wat abt u?,2025-08-31,01:34:08,172.16.22.230,"('Thailand', 'Bangkok')"
ham,i see. When we finish we have loads of loans to pay,2025-09-13,01:58:38,192.168.28.172,"('United States', 'Virginia')"
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",2025-07-02,03:31:44,10.0.28.250,"('Malaysia', 'Kuala Lumpur')"
ham,I see a cup of coffee animation,2025-07-03,01:29:57,10.0.235.207,"('Malaysia', 'Selangor')"
ham,Please don't text me anymore. I have nothing else to say.,2025-08-08,00:41:48,10.0.197.15,"('Malaysia', 'Selangor')"
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,2025-09-11,02:53:29,192.168.5.140,"('Singapore', 'Central')"
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,2025-08-02,03:25:43,203.0.113.116,"('Malaysia', 'Kuala Lumpur')"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,2025-08-19,04:48:06,203.0.113.236,"('Malaysia', 'Selangor')"
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",2025-09-23,04:13:02,10.0.66.162,"('Netherlands', 'North Holland')"
ham,Umma my life and vava umma love you lot dear,2025-08-31,01:40:34,124.13.145.16,"('Thailand', 'Bangkok')"
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,2025-08-21,03:09:13,192.168.16.223,"('United States', 'Virginia')"
ham,"Aight, I'll hit you up when I get some cash",2025-09-21,02:49:51,10.0.203.194,"('Malaysia', 'Kuala Lumpur')"
ham,How would my ip address test that considering my computer isn't a minecraft server,2025-08-08,00:08:38,192.168.248.40,"('Indonesia', 'DKI Jakarta')"
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,2025-09-14,02:14:53,203.0.113.227,"('Singapore', 'Central')"
ham,Dont worry. I guess he's busy.,2025-08-08,03:01:48,124.13.201.121,"('Malaysia', 'Kuala Lumpur')"
ham,What is the plural of the noun research?,2025-09-17,04:23:08,203.0.113.184,"('Malaysia', 'Kuala Lumpur')"
ham,Going for dinner.msg you after.,2025-08-02,04:10:29,124.13.110.144,"('Malaysia', 'Selangor')"
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,2025-07-07,05:44:59,124.13.197.61,"('Singapore', 'Central')"
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,2025-09-19,14:58:29,185.220.100.221,"('United States', 'Virginia')"
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",2025-09-15,02:13:10,172.16.182.163,"('Singapore', 'Central')"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",2025-07-25,04:06:18,5.188.37.133,"('Indonesia', 'DKI Jakarta')"
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),2025-07-05,12:43:10,45.67.145.217,"('United States', 'Virginia')"
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,2025-07-22,05:56:36,192.168.196.176,"('Singapore', 'Central')"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,2025-09-05,01:05:59,172.16.120.24,"('Singapore', 'Central')"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,2025-08-18,11:30:50,185.220.100.48,"('Hong Kong', 'Hong Kong')"
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",2025-08-03,13:28:18,5.188.60.26,"('United States', 'Virginia')"
ham,here is my new address -apples&pairs&all that malarky,2025-08-20,05:51:45,124.13.251.23,"('Malaysia', 'Selangor')"
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,2025-08-25,16:35:41,198.51.100.132,"('Germany', 'Hesse')"
ham,I am going to sao mu today. Will be done only at 12,2025-09-15,04:54:40,37.120.74.145,"('Indonesia', 'DKI Jakarta')"
ham,Ü predict wat time ü'll finish buying?,2025-09-24,05:11:02,10.0.112.2,"('Thailand', 'Bangkok')"
ham,"Good stuff, will do.",2025-09-03,00:40:23,192.168.73.75,"('Thailand', 'Bangkok')"
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",2025-07-22,01:40:06,185.220.100.72,"('Malaysia', 'Selangor')"
ham,Are you there in room.,2025-08-20,04:44:00,203.0.113.16,"('Singapore', 'Central')"
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,2025-09-16,00:03:38,172.16.78.2,"('Indonesia', 'DKI Jakarta')"
ham,K..k:)how much does it cost?,2025-07-30,04:54:27,172.16.130.227,"('Thailand', 'Bangkok')"
ham,I'm home.,2025-07-30,01:39:20,172.16.247.135,"('Singapore', 'Central')"
ham,"Dear, will call Tmorrow.pls accomodate.",2025-07-01,02:26:58,10.0.152.140,"('Indonesia', 'DKI Jakarta')"
ham,First answer my question.,2025-07-21,03:26:33,192.168.126.232,"('Malaysia', 'Kuala Lumpur')"
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,2025-08-14,16:34:18,37.120.134.192,"('United States', 'Virginia')"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,2025-08-12,15:42:26,185.220.100.50,"('Germany', 'Hesse')"
ham,I only haf msn. It's yijue@hotmail.com,2025-07-23,01:33:22,172.16.23.162,"('Malaysia', 'Kuala Lumpur')"
ham,He is there. You call and meet him,2025-09-20,01:31:48,203.0.113.12,"('Malaysia', 'Kuala Lumpur')"
ham,No no. I will check all rooms befor activities,2025-07-10,02:48:30,10.0.156.200,"('Malaysia', 'Selangor')"
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,2025-09-12,12:47:39,198.51.100.19,"('Romania', 'Bucharest')"
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,2025-07-09,04:12:16,185.220.100.77,"('Hong Kong', 'Hong Kong')"
ham,"K, text me when you're on the way",2025-09-23,04:12:53,124.13.125.237,"('Singapore', 'Central')"
ham,"Sir, Waiting for your mail.",2025-07-10,05:03:37,172.16.234.155,"('Singapore', 'Central')"
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",2025-08-27,02:38:06,192.168.179.96,"('Singapore', 'Central')"
ham,I know you are. Can you pls open the back?,2025-09-19,03:42:59,124.13.206.7,"('Thailand', 'Bangkok')"
ham,Yes see ya not on the dot,2025-09-02,05:57:39,10.0.253.212,"('Indonesia', 'DKI Jakarta')"
ham,Whats the staff name who is taking class for us?,2025-09-28,00:31:23,172.16.8.196,"('Indonesia', 'DKI Jakarta')"
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",2025-07-27,18:24:45,198.51.100.22,"('United States', 'Virginia')"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,2025-07-06,03:02:05,198.51.100.40,"('Romania', 'Bucharest')"
ham,K..i deleted my contact that why?,2025-07-04,05:12:17,10.0.104.33,"('Indonesia', 'DKI Jakarta')"
ham,Sindu got job in birla soft ..,2025-07-22,01:16:50,203.0.113.230,"('Indonesia', 'DKI Jakarta')"
ham,The wine is flowing and i'm i have nevering..,2025-08-10,00:34:34,10.0.68.48,"('Indonesia', 'DKI Jakarta')"
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,2025-09-12,01:39:58,172.16.122.119,"('Malaysia', 'Selangor')"
ham,Ok... Ur typical reply...,2025-09-21,00:51:33,172.16.61.157,"('Singapore', 'Central')"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,2025-07-01,00:37:32,10.0.190.207,"('Netherlands', 'North Holland')"
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",2025-09-19,02:46:45,203.0.113.185,"('Malaysia', 'Kuala Lumpur')"
ham,Aaooooright are you at work?,2025-08-14,04:16:51,10.0.0.160,"('Malaysia', 'Selangor')"
ham,I'm leaving my house now...,2025-07-02,05:37:38,192.168.138.23,"('Malaysia', 'Selangor')"
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",2025-07-05,05:39:16,203.0.113.68,"('Indonesia', 'DKI Jakarta')"
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,2025-07-17,12:10:41,185.220.100.179,"('Germany', 'Hesse')"
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,2025-09-13,13:48:23,5.188.158.99,"('Romania', 'Bucharest')"
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,2025-08-20,00:46:05,124.13.238.99,"('Malaysia', 'Selangor')"
ham,New car and house for my parents.:)i have only new job in hand:),2025-07-22,01:01:37,10.0.72.183,"('Malaysia', 'Selangor')"
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,2025-08-23,00:40:22,198.51.100.55,"('Indonesia', 'DKI Jakarta')"
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,2025-09-02,10:53:14,198.51.100.155,"('Romania', 'Bucharest')"
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",2025-07-17,15:45:51,198.51.100.52,"('Romania', 'Bucharest')"
ham,I place all ur points on e cultures module already.,2025-08-28,00:18:45,172.16.235.165,"('Thailand', 'Bangkok')"
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,2025-08-01,18:06:53,45.67.44.131,"('Hong Kong', 'Hong Kong')"
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",2025-08-27,01:45:38,203.0.113.87,"('Malaysia', 'Kuala Lumpur')"
ham,Great escape. I fancy the bridge but needs her lager. See you tomo,2025-08-26,05:52:00,172.16.193.99,"('Thailand', 'Bangkok')"
ham,Yes :)it completely in out of form:)clark also utter waste.,2025-07-06,00:52:22,185.220.100.69,"('Indonesia', 'DKI Jakarta')"
ham,"Sir, I need AXIS BANK account no and bank address.",2025-07-20,01:21:28,203.0.113.162,"('United States', 'Virginia')"
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",2025-09-24,03:17:05,172.16.208.193,"('Indonesia', 'DKI Jakarta')"
ham,What time you coming down later?,2025-08-23,00:12:36,124.13.38.135,"('Hong Kong', 'Hong Kong')"
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",2025-09-08,04:32:00,124.13.127.112,"('Malaysia', 'Selangor')"
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",2025-08-31,01:50:40,124.13.139.221,"('Indonesia', 'DKI Jakarta')"
ham,Let me know when you've got the money so carlos can make the call,2025-07-29,03:31:15,192.168.176.86,"('Indonesia', 'DKI Jakarta')"
ham,U still going to the mall?,2025-07-01,03:47:43,5.188.66.197,"('Indonesia', 'DKI Jakarta')"
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",2025-09-21,00:00:08,124.13.26.228,"('Malaysia', 'Selangor')"
